productId,productName,productPrice,producerName,categoryName,discountPercentValue
40,Żywiec Zdrój Apple Watch 10,405.68,Żywiec Zdrój,Apple Watch,5
41,Gerber Bicycle 1,1680.05,Gerber,Bicycles,0
42,Asus Bicycle 2,777.6,Asus,Bicycles,20
43,Samsung Bicycle 3,534.93,Samsung,Bicycles,0
44,Mattel Bicycle 4,409.42,Mattel,Bicycles,5
45,LG Bicycle 5,364.37,LG,Bicycles,10
46,Purina Bicycle 6,728.28,Purina,Bicycles,10
47,Fisher-Price Bicycle 7,1230.82,Fisher-Price,Bicycles,0
48,Fisher-Price Bicycle 8,1814.12,Fisher-Price,Bicycles,5
49,Whiskas Bicycle 9,1205.07,Whiskas,Bicycles,0
50,Persil Bicycle 10,449.17,Persil,Bicycles,0
51,Sony Blood Pressure Monitor 1,1369.05,Sony,Blood Pressure Monitors,10
52,Bosch Blood Pressure Monitor 2,1830.73,Bosch,Blood Pressure Monitors,0
53,Nestlé Blood Pressure Monitor 3,1749.18,Nestlé,Blood Pressure Monitors,10
54,Chicco Blood Pressure Monitor 4,548.79,Chicco,Blood Pressure Monitors,0
55,Samsung Blood Pressure Monitor 5,1041.35,Samsung,Blood Pressure Monitors,5
56,Ariel Blood Pressure Monitor 6,1060.85,Ariel,Blood Pressure Monitors,20
57,Dell Blood Pressure Monitor 7,786.61,Dell,Blood Pressure Monitors,5
58,Pedigree Blood Pressure Monitor 8,306.57,Pedigree,Blood Pressure Monitors,15
59,Sony Blood Pressure Monitor 9,1173.56,Sony,Blood Pressure Monitors,10
60,Garnier Blood Pressure Monitor 10,164.7,Garnier,Blood Pressure Monitors,0
61,HP Business Laptop 1,508.97,HP,Business Laptops,10
62,Persil Business Laptop 2,1282.34,Persil,Business Laptops,10
63,Finish Business Laptop 3,467.13,Finish,Business Laptops,10
64,Persil Business Laptop 4,632.26,Persil,Business Laptops,15
65,Apple Business Laptop 5,1618.17,Apple,Business Laptops,10
66,Lenovo Business Laptop 6,964.51,Lenovo,Business Laptops,0
67,Gerber Business Laptop 7,1004.51,Gerber,Business Laptops,25
68,Samsung Business Laptop 8,701.96,Samsung,Business Laptops,0
69,IKEA Business Laptop 9,569.67,IKEA,Business Laptops,20
70,IKEA Business Laptop 10,796.13,IKEA,Business Laptops,5
71,Pedigree CPU Cooling 1,1364.23,Pedigree,CPU Cooling,0
72,Colgate CPU Cooling 2,189.38,Colgate,CPU Cooling,15
73,Bosch CPU Cooling 3,1985.48,Bosch,CPU Cooling,15
74,Levi's CPU Cooling 4,200.96,Levi's,CPU Cooling,5
75,Finish CPU Cooling 5,313.46,Finish,CPU Cooling,5
76,Nike CPU Cooling 6,1579.29,Nike,CPU Cooling,0
77,Tefal CPU Cooling 7,1502.9,Tefal,CPU Cooling,0
78,Finish CPU Cooling 8,193.71,Finish,CPU Cooling,10
79,Bosch CPU Cooling 9,495.36,Bosch,CPU Cooling,0
80,Pepsi CPU Cooling 10,717.21,Pepsi,CPU Cooling,0
81,Canon Camera Bag 1,454.55,Canon,Camera Bags,0
82,Canon Camera Bag 2,142.5,Canon,Camera Bags,5
83,Sony Camera Bag 3,904.05,Sony,Camera Bags,10
84,Canon Camera Bag 4,1782.03,Canon,Camera Bags,10
85,Nikon Camera Bag 5,1513.68,Nikon,Camera Bags,0
86,Nikon Camera Bag 6,1627.5,Nikon,Camera Bags,0
87,Sony Camera Bag 7,28.21,Sony,Camera Bags,25
88,Nikon Camera Bag 8,1387.34,Nikon,Camera Bags,0
89,Sony Camera Bag 9,1739.89,Sony,Camera Bags,5
90,Sony Camera Bag 10,1145.38,Sony,Camera Bags,5
91,Gillette Ceiling Light 1,837.42,Gillette,Ceiling Lights,0
92,Oral-B Ceiling Light 2,1502.62,Oral-B,Ceiling Lights,0
93,Tymbark Ceiling Light 3,88.49,Tymbark,Ceiling Lights,0
94,Nivea Ceiling Light 4,975.2,Nivea,Ceiling Lights,0
95,Garnier Ceiling Light 5,1591.22,Garnier,Ceiling Lights,15
96,Chicco Ceiling Light 6,868.25,Chicco,Ceiling Lights,20
97,Tymbark Ceiling Light 7,637.85,Tymbark,Ceiling Lights,10
98,Oral-B Ceiling Light 8,1662.82,Oral-B,Ceiling Lights,25
99,Coca-Cola Ceiling Light 9,498.96,Coca-Cola,Ceiling Lights,5
100,Tefal Ceiling Light 10,1566.21,Tefal,Ceiling Lights,15
101,Zara Chargers & Cable 1,953.91,Zara,Chargers & Cables,0
102,Pampers Chargers & Cable 2,906.66,Pampers,Chargers & Cables,5
103,Nikon Chargers & Cable 3,37.71,Nikon,Chargers & Cables,5
104,Bosch Chargers & Cable 4,670.2,Bosch,Chargers & Cables,0
105,Finish Chargers & Cable 5,1575.04,Finish,Chargers & Cables,0
106,Heinz Chargers & Cable 6,611.14,Heinz,Chargers & Cables,25
107,IKEA Chargers & Cable 7,969.35,IKEA,Chargers & Cables,25
108,Żywiec Zdrój Chargers & Cable 8,1249.59,Żywiec Zdrój,Chargers & Cables,0
109,Maybelline Chargers & Cable 9,1941.75,Maybelline,Chargers & Cables,0
110,Whiskas Chargers & Cable 10,1938.51,Whiskas,Chargers & Cables,5
111,LG Cleaning Product 1,378.71,LG,Cleaning Products,0
112,Łowicz Cleaning Product 2,1907.36,Łowicz,Cleaning Products,0
113,Bosch Cleaning Product 3,600.46,Bosch,Cleaning Products,0
114,Asus Cleaning Product 4,1824.72,Asus,Cleaning Products,0
115,Adidas Cleaning Product 5,936.52,Adidas,Cleaning Products,0
116,Żywiec Zdrój Cleaning Product 6,200.64,Żywiec Zdrój,Cleaning Products,0
117,Purina Cleaning Product 7,1884.34,Purina,Cleaning Products,5
118,Nikon Cleaning Product 8,1998.28,Nikon,Cleaning Products,0
119,Lego Cleaning Product 9,1701.41,Lego,Cleaning Products,5
120,Garnier Cleaning Product 10,942.05,Garnier,Cleaning Products,5
121,Pampers Coffee Machine 1,284.71,Pampers,Coffee Machines,0
122,Dove Coffee Machine 2,1732.93,Dove,Coffee Machines,15
123,Gerber Coffee Machine 3,301.6,Gerber,Coffee Machines,15
124,Huggies Coffee Machine 4,240.27,Huggies,Coffee Machines,5
125,Philips Coffee Machine 5,1269.79,Philips,Coffee Machines,5
126,Huggies Coffee Machine 6,442.34,Huggies,Coffee Machines,0
127,Nivea Coffee Machine 7,636.99,Nivea,Coffee Machines,10
128,Łowicz Coffee Machine 8,942.4,Łowicz,Coffee Machines,0
129,Pepsi Coffee Machine 9,412.54,Pepsi,Coffee Machines,15
130,Sony Coffee Machine 10,211.46,Sony,Coffee Machines,0
131,Nikon Compact Camera 1,1700.75,Nikon,Compact Cameras,15
132,Sony Compact Camera 2,903.25,Sony,Compact Cameras,0
133,Nikon Compact Camera 3,1819.52,Nikon,Compact Cameras,25
134,Canon Compact Camera 4,781.89,Canon,Compact Cameras,15
135,Sony Compact Camera 5,557.07,Sony,Compact Cameras,5
136,Canon Compact Camera 6,164.63,Canon,Compact Cameras,0
137,Canon Compact Camera 7,1281.24,Canon,Compact Cameras,0
138,Nikon Compact Camera 8,1516.11,Nikon,Compact Cameras,0
139,Canon Compact Camera 9,1348.4,Canon,Compact Cameras,15
140,Sony Compact Camera 10,325.2,Sony,Compact Cameras,5
141,Sony Computer Cables and Adapter 1,228.19,Sony,Computer Cables and Adapters,0
142,HP Computer Cables and Adapter 2,1983.75,HP,Computer Cables and Adapters,5
143,Sony Computer Cables and Adapter 3,338.39,Sony,Computer Cables and Adapters,15
144,Sony Computer Cables and Adapter 4,1108.99,Sony,Computer Cables and Adapters,25
145,HP Computer Cables and Adapter 5,788.53,HP,Computer Cables and Adapters,0
146,Dell Computer Cables and Adapter 6,960.96,Dell,Computer Cables and Adapters,0
147,LG Computer Cables and Adapter 7,73.71,LG,Computer Cables and Adapters,5
148,Sony Computer Cables and Adapter 8,1199.38,Sony,Computer Cables and Adapters,0
149,Lenovo Computer Cables and Adapter 9,1006.39,Lenovo,Computer Cables and Adapters,0
150,HP Computer Cables and Adapter 10,730.67,HP,Computer Cables and Adapters,0
151,Lenovo Computer Case 1,1264.53,Lenovo,Computer Cases,5
152,Lenovo Computer Case 2,1643.48,Lenovo,Computer Cases,15
153,LG Computer Case 3,1362.03,LG,Computer Cases,5
154,Dell Computer Case 4,263.24,Dell,Computer Cases,25
155,Lenovo Computer Case 5,534.56,Lenovo,Computer Cases,0
156,LG Computer Case 6,1889.9,LG,Computer Cases,5
157,Lenovo Computer Case 7,1537.42,Lenovo,Computer Cases,10
158,Lenovo Computer Case 8,1393.87,Lenovo,Computer Cases,5
159,Asus Computer Case 9,817.05,Asus,Computer Cases,0
160,HP Computer Case 10,641.54,HP,Computer Cases,10
161,Sony Computer Fan 1,714.82,Sony,Computer Fans,0
162,Samsung Computer Fan 2,1800.43,Samsung,Computer Fans,15
163,Dell Computer Fan 3,174.07,Dell,Computer Fans,0
164,Dell Computer Fan 4,977.9,Dell,Computer Fans,10
165,Dell Computer Fan 5,1880.87,Dell,Computer Fans,5
166,Sony Computer Fan 6,426.08,Sony,Computer Fans,0
167,Sony Computer Fan 7,220.09,Sony,Computer Fans,25
168,Samsung Computer Fan 8,625.74,Samsung,Computer Fans,0
169,Sony Computer Fan 9,473.26,Sony,Computer Fans,5
170,Samsung Computer Fan 10,1342.05,Samsung,Computer Fans,5
171,Sony DSLR Camera 1,593.93,Sony,DSLR Cameras,0
172,Sony DSLR Camera 2,1066.4,Sony,DSLR Cameras,0
173,Sony DSLR Camera 3,1183.62,Sony,DSLR Cameras,15
174,Nikon DSLR Camera 4,544.54,Nikon,DSLR Cameras,5
175,Sony DSLR Camera 5,391.29,Sony,DSLR Cameras,0
176,Sony DSLR Camera 6,1944.21,Sony,DSLR Cameras,5
177,Sony DSLR Camera 7,1819.43,Sony,DSLR Cameras,10
178,Nikon DSLR Camera 8,1535.71,Nikon,DSLR Cameras,0
179,Canon DSLR Camera 9,166.89,Canon,DSLR Cameras,5
180,Nikon DSLR Camera 10,1882.42,Nikon,DSLR Cameras,5
181,Garnier Desk 1,1034.59,Garnier,Desks,0
182,Tefal Desk 2,1567.49,Tefal,Desks,0
183,Zara Desk 3,1163.27,Zara,Desks,0
184,Gerber Desk 4,881.56,Gerber,Desks,0
185,Tymbark Desk 5,1841.13,Tymbark,Desks,5
186,Oral-B Desk 6,1052.55,Oral-B,Desks,10
187,Purina Desk 7,625.55,Purina,Desks,20
188,Nivea Desk 8,1195.47,Nivea,Desks,10
189,Levi's Desk 9,1507.43,Levi's,Desks,20
190,Winiary Desk 10,1305.34,Winiary,Desks,0
191,Nestlé Dishwasher 1,823.97,Nestlé,Dishwashers,10
192,Winiary Dishwasher 2,124.24,Winiary,Dishwashers,25
193,Canon Dishwasher 3,1999.35,Canon,Dishwashers,0
194,Oral-B Dishwasher 4,1635.22,Oral-B,Dishwashers,0
195,Apple Dishwasher 5,1341.35,Apple,Dishwashers,5
196,Purina Dishwasher 6,510.77,Purina,Dishwashers,0
197,Żywiec Zdrój Dishwasher 7,412.8,Żywiec Zdrój,Dishwashers,10
198,Whiskas Dishwasher 8,102.36,Whiskas,Dishwashers,5
199,Chicco Dishwasher 9,1216.23,Chicco,Dishwashers,15
200,HP Dishwasher 10,924.08,HP,Dishwashers,0
201,Gillette Dryer 1,263.29,Gillette,Dryers,10
202,Łowicz Dryer 2,1991.3,Łowicz,Dryers,15
203,Fisher-Price Dryer 3,785.78,Fisher-Price,Dryers,15
204,Nikon Dryer 4,1071.25,Nikon,Dryers,10
205,H&M Dryer 5,1738.45,H&M,Dryers,0
206,Finish Dryer 6,1248.51,Finish,Dryers,0
207,Asus Dryer 7,515.82,Asus,Dryers,0
208,Nestlé Dryer 8,717.61,Nestlé,Dryers,5
209,Ariel Dryer 9,1602.5,Ariel,Dryers,15
210,Puma Dryer 10,209.86,Puma,Dryers,5
211,Levi's Dumbbell 1,507.22,Levi's,Dumbbells,0
212,Nikon Dumbbell 2,1054.89,Nikon,Dumbbells,15
213,Asus Dumbbell 3,19.6,Asus,Dumbbells,0
214,Levi's Dumbbell 4,864.01,Levi's,Dumbbells,10
215,Nivea Dumbbell 5,214.52,Nivea,Dumbbells,15
216,Colgate Dumbbell 6,1765.92,Colgate,Dumbbells,10
217,Lego Dumbbell 7,980.12,Lego,Dumbbells,0
218,Tymbark Dumbbell 8,845.09,Tymbark,Dumbbells,10
219,Puma Dumbbell 9,11.5,Puma,Dumbbells,5
220,Winiary Dumbbell 10,155.11,Winiary,Dumbbells,0
221,Nike Electric Shaver 1,753.61,Nike,Electric Shavers,5
222,Whiskas Electric Shaver 2,298.84,Whiskas,Electric Shavers,15
223,Philips Electric Shaver 3,419.63,Philips,Electric Shavers,0
224,Lego Electric Shaver 4,366.66,Lego,Electric Shavers,0
225,LG Electric Shaver 5,481.89,LG,Electric Shavers,5
226,IKEA Electric Shaver 6,1667.08,IKEA,Electric Shavers,0
227,Garnier Electric Shaver 7,307.67,Garnier,Electric Shavers,25
228,HP Electric Shaver 8,757.01,HP,Electric Shavers,0
229,Philips Electric Shaver 9,766.72,Philips,Electric Shavers,0
230,Tefal Electric Shaver 10,37.49,Tefal,Electric Shavers,10
231,IKEA Fitness Band 1,1549.09,IKEA,Fitness Bands,10
232,Mattel Fitness Band 2,1710.7,Mattel,Fitness Bands,0
233,LG Fitness Band 3,665.5,LG,Fitness Bands,10
234,Nestlé Fitness Band 4,1201.19,Nestlé,Fitness Bands,0
235,Bosch Fitness Band 5,1750.5,Bosch,Fitness Bands,0
236,Asus Fitness Band 6,456.48,Asus,Fitness Bands,15
237,Asus Fitness Band 7,1777.92,Asus,Fitness Bands,10
238,Ariel Fitness Band 8,1289.99,Ariel,Fitness Bands,0
239,Huggies Fitness Band 9,880.5,Huggies,Fitness Bands,10
240,Heinz Fitness Band 10,1317.4,Heinz,Fitness Bands,0
241,HP Fragrance 1,128.29,HP,Fragrances,0
242,Purina Fragrance 2,1089.71,Purina,Fragrances,10
243,Whiskas Fragrance 3,1589.02,Whiskas,Fragrances,10
244,Hasbro Fragrance 4,1067.6,Hasbro,Fragrances,5
245,Tymbark Fragrance 5,1050.7,Tymbark,Fragrances,5
246,Tymbark Fragrance 6,510.43,Tymbark,Fragrances,10
247,Vanish Fragrance 7,1183.34,Vanish,Fragrances,5
248,Ariel Fragrance 8,352.16,Ariel,Fragrances,0
249,Chicco Fragrance 9,1787.87,Chicco,Fragrances,5
250,Purina Fragrance 10,542.95,Purina,Fragrances,5
251,Chicco Gaming Laptop 1,1934.87,Chicco,Gaming Laptops,0
252,H&M Gaming Laptop 2,1209.52,H&M,Gaming Laptops,5
253,Sony Gaming Laptop 3,225.95,Sony,Gaming Laptops,0
254,Sony Gaming Laptop 4,1421.74,Sony,Gaming Laptops,0
255,Pedigree Gaming Laptop 5,1333.42,Pedigree,Gaming Laptops,15
256,Oral-B Gaming Laptop 6,1754.5,Oral-B,Gaming Laptops,5
257,Coca-Cola Gaming Laptop 7,1072.11,Coca-Cola,Gaming Laptops,0
258,Sony Gaming Laptop 8,453.9,Sony,Gaming Laptops,0
259,H&M Gaming Laptop 9,512.03,H&M,Gaming Laptops,15
260,Pedigree Gaming Laptop 10,342.93,Pedigree,Gaming Laptops,0
261,Apple Gaming Lighting 1,1786.38,Apple,Gaming Lighting,20
262,Dell Gaming Lighting 2,1776.28,Dell,Gaming Lighting,10
263,Colgate Gaming Lighting 3,821.74,Colgate,Gaming Lighting,0
264,Żywiec Zdrój Gaming Lighting 4,1363.12,Żywiec Zdrój,Gaming Lighting,0
265,Pepsi Gaming Lighting 5,455.77,Pepsi,Gaming Lighting,10
266,Maybelline Gaming Lighting 6,1007.9,Maybelline,Gaming Lighting,0
267,Nivea Gaming Lighting 7,39.46,Nivea,Gaming Lighting,0
268,Gillette Gaming Lighting 8,724.48,Gillette,Gaming Lighting,10
269,Whiskas Gaming Lighting 9,59.38,Whiskas,Gaming Lighting,5
270,Gerber Gaming Lighting 10,1210.93,Gerber,Gaming Lighting,10
271,Finish Gaming Monitor 1,1500.93,Finish,Gaming Monitors,5
272,Vanish Gaming Monitor 2,1332.9,Vanish,Gaming Monitors,10
273,Sony Gaming Monitor 3,1686.54,Sony,Gaming Monitors,0
274,Tymbark Gaming Monitor 4,1438.9,Tymbark,Gaming Monitors,10
275,Apple Gaming Monitor 5,1983.64,Apple,Gaming Monitors,5
276,Persil Gaming Monitor 6,659.09,Persil,Gaming Monitors,0
277,Chicco Gaming Monitor 7,1576.68,Chicco,Gaming Monitors,5
278,Levi's Gaming Monitor 8,677.17,Levi's,Gaming Monitors,15
279,Nestlé Gaming Monitor 9,917.57,Nestlé,Gaming Monitors,5
280,Tefal Gaming Monitor 10,1782.94,Tefal,Gaming Monitors,5
281,Gerber Graphics Card 1,1455.33,Gerber,Graphics Cards,0
282,Ariel Graphics Card 2,1115.94,Ariel,Graphics Cards,15
283,Nivea Graphics Card 3,207.73,Nivea,Graphics Cards,10
284,Winiary Graphics Card 4,562.84,Winiary,Graphics Cards,5
285,Nikon Graphics Card 5,519.28,Nikon,Graphics Cards,5
286,Pedigree Graphics Card 6,107.11,Pedigree,Graphics Cards,5
287,Whiskas Graphics Card 7,397.18,Whiskas,Graphics Cards,0
288,H&M Graphics Card 8,1393.87,H&M,Graphics Cards,0
289,Gerber Graphics Card 9,1414.99,Gerber,Graphics Cards,5
290,Purina Graphics Card 10,420.58,Purina,Graphics Cards,10
291,Winiary HDD 1,1906.0,Winiary,HDDs,0
292,Puma HDD 2,426.84,Puma,HDDs,20
293,HP HDD 3,557.18,HP,HDDs,0
294,Persil HDD 4,740.66,Persil,HDDs,10
295,Lego HDD 5,888.04,Lego,HDDs,0
296,Lego HDD 6,126.73,Lego,HDDs,0
297,Huggies HDD 7,1511.63,Huggies,HDDs,10
298,Tefal HDD 8,1083.83,Tefal,HDDs,20
299,Lego HDD 9,849.81,Lego,HDDs,10
300,Winiary HDD 10,516.86,Winiary,HDDs,5
301,Nivea Hair Dryer 1,1189.98,Nivea,Hair Dryers,5
302,Nikon Hair Dryer 2,1462.49,Nikon,Hair Dryers,0
303,Nikon Hair Dryer 3,232.61,Nikon,Hair Dryers,0
304,HP Hair Dryer 4,202.05,HP,Hair Dryers,0
305,Hasbro Hair Dryer 5,966.17,Hasbro,Hair Dryers,10
306,Vanish Hair Dryer 6,400.23,Vanish,Hair Dryers,5
307,Tefal Hair Dryer 7,1854.67,Tefal,Hair Dryers,10
308,Pampers Hair Dryer 8,1576.43,Pampers,Hair Dryers,10
309,Adidas Hair Dryer 9,1617.26,Adidas,Hair Dryers,5
310,Winiary Hair Dryer 10,1995.18,Winiary,Hair Dryers,0
311,Ariel Haircare 1,603.97,Ariel,Haircare,5
312,Coca-Cola Haircare 2,487.43,Coca-Cola,Haircare,0
313,IKEA Haircare 3,314.5,IKEA,Haircare,10
314,Dell Haircare 4,1304.19,Dell,Haircare,0
315,Bosch Haircare 5,1799.26,Bosch,Haircare,10
316,Pedigree Haircare 6,1332.17,Pedigree,Haircare,0
317,Tymbark Haircare 7,816.97,Tymbark,Haircare,5
318,Winiary Haircare 8,765.83,Winiary,Haircare,0
319,Tymbark Haircare 9,291.41,Tymbark,Haircare,10
320,Whiskas Haircare 10,637.79,Whiskas,Haircare,0
321,Żywiec Zdrój Headphones & Earbud 1,947.39,Żywiec Zdrój,Headphones & Earbuds,0
322,Sony Headphones & Earbud 2,1457.16,Sony,Headphones & Earbuds,10
323,Bosch Headphones & Earbud 3,1373.81,Bosch,Headphones & Earbuds,0
324,Garnier Headphones & Earbud 4,1466.76,Garnier,Headphones & Earbuds,5
325,Finish Headphones & Earbud 5,266.45,Finish,Headphones & Earbuds,0
326,Mattel Headphones & Earbud 6,727.38,Mattel,Headphones & Earbuds,15
327,Łowicz Headphones & Earbud 7,1241.52,Łowicz,Headphones & Earbuds,0
328,Lenovo Headphones & Earbud 8,97.91,Lenovo,Headphones & Earbuds,5
329,Ariel Headphones & Earbud 9,945.45,Ariel,Headphones & Earbuds,5
330,Levi's Headphones & Earbud 10,136.94,Levi's,Headphones & Earbuds,0
331,Gerber Helmet 1,1138.27,Gerber,Helmets,0
332,Huggies Helmet 2,521.08,Huggies,Helmets,0
333,Oral-B Helmet 3,421.74,Oral-B,Helmets,0
334,Sony Helmet 4,85.74,Sony,Helmets,10
335,Zara Helmet 5,1044.49,Zara,Helmets,25
336,Levi's Helmet 6,1854.02,Levi's,Helmets,10
337,Bosch Helmet 7,1781.68,Bosch,Helmets,20
338,Asus Helmet 8,837.1,Asus,Helmets,0
339,Puma Helmet 9,226.92,Puma,Helmets,5
340,Levi's Helmet 10,158.24,Levi's,Helmets,5
341,Lenovo Home Theater System 1,773.31,Lenovo,Home Theater Systems,0
342,Nike Home Theater System 2,821.4,Nike,Home Theater Systems,0
343,Oral-B Home Theater System 3,1646.63,Oral-B,Home Theater Systems,15
344,Gillette Home Theater System 4,569.4,Gillette,Home Theater Systems,0
345,Gillette Home Theater System 5,1149.64,Gillette,Home Theater Systems,0
346,Tymbark Home Theater System 6,1631.4,Tymbark,Home Theater Systems,15
347,Fisher-Price Home Theater System 7,166.37,Fisher-Price,Home Theater Systems,5
348,Samsung Home Theater System 8,733.34,Samsung,Home Theater Systems,0
349,Philips Home Theater System 9,373.42,Philips,Home Theater Systems,10
350,HP Home Theater System 10,1669.46,HP,Home Theater Systems,0
351,Heinz Keyboard 1,1555.78,Heinz,Keyboards,0
352,Hasbro Keyboard 2,902.34,Hasbro,Keyboards,0
353,Pampers Keyboard 3,1052.06,Pampers,Keyboards,0
354,Zara Keyboard 4,1762.2,Zara,Keyboards,0
355,Pepsi Keyboard 5,1014.45,Pepsi,Keyboards,0
356,Gillette Keyboard 6,940.83,Gillette,Keyboards,5
357,Pedigree Keyboard 7,899.65,Pedigree,Keyboards,5
358,Sony Keyboard 8,1915.3,Sony,Keyboards,10
359,Samsung Keyboard 9,271.05,Samsung,Keyboards,0
360,Dove Keyboard 10,1095.56,Dove,Keyboards,5
361,Zara Lamp 1,1209.34,Zara,Lamps,15
362,Heinz Lamp 2,1232.48,Heinz,Lamps,0
363,Apple Lamp 3,1869.52,Apple,Lamps,5
364,Łowicz Lamp 4,1825.92,Łowicz,Lamps,0
365,Mattel Lamp 5,902.14,Mattel,Lamps,5
366,Purina Lamp 6,1098.07,Purina,Lamps,5
367,Sony Lamp 7,1939.97,Sony,Lamps,15
368,Maybelline Lamp 8,1724.49,Maybelline,Lamps,5
369,Ariel Lamp 9,697.38,Ariel,Lamps,5
370,Asus Lamp 10,14.97,Asus,Lamps,10
371,Nikon Lense 1,1531.39,Nikon,Lenses,0
372,Asus Lense 2,434.73,Asus,Lenses,0
373,Maybelline Lense 3,1409.65,Maybelline,Lenses,0
374,Levi's Lense 4,206.45,Levi's,Lenses,0
375,Tymbark Lense 5,277.6,Tymbark,Lenses,0
376,Żywiec Zdrój Lense 6,1491.02,Żywiec Zdrój,Lenses,10
377,Bosch Lense 7,1948.61,Bosch,Lenses,10
378,Nike Lense 8,1400.57,Nike,Lenses,0
379,L'Oréal Lense 9,1688.64,L'Oréal,Lenses,10
380,Mattel Lense 10,1494.85,Mattel,Lenses,15
381,Tefal Makeup 1,1480.38,Tefal,Makeup,0
382,Hasbro Makeup 2,461.7,Hasbro,Makeup,5
383,Philips Makeup 3,917.82,Philips,Makeup,0
384,Asus Makeup 4,1222.41,Asus,Makeup,10
385,Samsung Makeup 5,1518.12,Samsung,Makeup,10
386,Gillette Makeup 6,832.06,Gillette,Makeup,0
387,Asus Makeup 7,1388.91,Asus,Makeup,0
388,Oral-B Makeup 8,1208.98,Oral-B,Makeup,0
389,Tymbark Makeup 9,1456.26,Tymbark,Makeup,25
390,Asus Makeup 10,549.4,Asus,Makeup,5
391,Hasbro Mice 1,1202.75,Hasbro,Mice,10
392,Colgate Mice 2,1997.51,Colgate,Mice,10
393,Pedigree Mice 3,950.26,Pedigree,Mice,5
394,Levi's Mice 4,498.0,Levi's,Mice,15
395,Asus Mice 5,954.7,Asus,Mice,15
396,Finish Mice 6,183.98,Finish,Mice,0
397,Colgate Mice 7,959.19,Colgate,Mice,10
398,Colgate Mice 8,1145.82,Colgate,Mice,20
399,Żywiec Zdrój Mice 9,1358.83,Żywiec Zdrój,Mice,0
400,Łowicz Mice 10,599.38,Łowicz,Mice,10
401,Garnier Microwave 1,1795.91,Garnier,Microwaves,0
402,Dell Microwave 2,1281.9,Dell,Microwaves,5
403,Vanish Microwave 3,150.23,Vanish,Microwaves,15
404,Dell Microwave 4,1745.82,Dell,Microwaves,20
405,Nikon Microwave 5,369.91,Nikon,Microwaves,0
406,Gillette Microwave 6,597.67,Gillette,Microwaves,0
407,Gillette Microwave 7,1595.5,Gillette,Microwaves,0
408,Persil Microwave 8,706.82,Persil,Microwaves,10
409,H&M Microwave 9,905.06,H&M,Microwaves,0
410,Winiary Microwave 10,1937.56,Winiary,Microwaves,10
411,Whiskas Mini PC 1,1337.53,Whiskas,Mini PCs,10
